epoch 0, training loss (NLL) 274.7916, training kl divergence 5.6225, valid error 206.2614, time 0.43  ***
epoch 115, training loss (NLL) 78.9895, training kl divergence 16.1599, valid error 79.6254, time 0.46  ***
epoch 116, training loss (NLL) 78.8781, training kl divergence 16.1779, valid error 79.5953, time 0.42  ***
epoch 117, training loss (NLL) 78.7761, training kl divergence 16.1919, valid error 79.4351, time 0.42  ***
epoch 118, training loss (NLL) 78.6477, training kl divergence 16.2149, valid error 79.2291, time 0.43  ***
epoch 119, training loss (NLL) 78.5403, training kl divergence 16.2323, valid error 79.2767, time 0.42 
epoch 120, training loss (NLL) 78.4583, training kl divergence 16.2447, valid error 79.1542, time 0.42  ***
epoch 121, training loss (NLL) 78.3543, training kl divergence 16.2727, valid error 79.0132, time 0.42  ***
epoch 122, training loss (NLL) 78.2422, training kl divergence 16.2885, valid error 78.9103, time 0.42  ***
epoch 123, training loss (NLL) 78.1649, training kl divergence 16.3155, valid error 78.8180, time 0.46  ***
epoch 124, training loss (NLL) 78.0835, training kl divergence 16.3308, valid error 78.7605, time 0.44  ***
epoch 125, training loss (NLL) 77.9615, training kl divergence 16.3592, valid error 78.7137, time 0.42  ***
epoch 126, training loss (NLL) 77.8767, training kl divergence 16.3757, valid error 78.6076, time 0.45  ***
epoch 127, training loss (NLL) 77.7871, training kl divergence 16.3858, valid error 78.5674, time 0.48  ***
epoch 128, training loss (NLL) 77.7180, training kl divergence 16.4028, valid error 78.5298, time 0.42  ***
epoch 129, training loss (NLL) 77.6333, training kl divergence 16.4194, valid error 78.3152, time 0.42  ***
epoch 130, training loss (NLL) 77.5400, training kl divergence 16.4465, valid error 78.2830, time 0.42  ***
epoch 131, training loss (NLL) 77.4418, training kl divergence 16.4490, valid error 78.2927, time 0.42 
epoch 132, training loss (NLL) 77.3741, training kl divergence 16.4662, valid error 78.1592, time 0.42  ***
epoch 133, training loss (NLL) 77.2883, training kl divergence 16.4858, valid error 78.1140, time 0.42  ***
epoch 134, training loss (NLL) 77.2318, training kl divergence 16.4967, valid error 78.0678, time 0.42  ***
epoch 135, training loss (NLL) 77.1364, training kl divergence 16.5163, valid error 77.9549, time 0.42  ***
epoch 136, training loss (NLL) 77.0347, training kl divergence 16.5160, valid error 77.8852, time 0.43  ***
epoch 137, training loss (NLL) 76.9863, training kl divergence 16.5323, valid error 77.7979, time 0.42  ***
epoch 138, training loss (NLL) 76.8908, training kl divergence 16.5573, valid error 77.7064, time 0.42  ***
epoch 139, training loss (NLL) 76.8342, training kl divergence 16.5586, valid error 77.7052, time 0.42  ***
epoch 140, training loss (NLL) 76.7456, training kl divergence 16.5834, valid error 77.6222, time 0.42  ***
epoch 141, training loss (NLL) 76.6952, training kl divergence 16.5917, valid error 77.5169, time 0.42  ***
epoch 142, training loss (NLL) 76.6007, training kl divergence 16.6171, valid error 77.4019, time 0.42  ***
epoch 143, training loss (NLL) 76.5660, training kl divergence 16.6149, valid error 77.3682, time 0.43  ***
epoch 144, training loss (NLL) 76.4526, training kl divergence 16.6260, valid error 77.2568, time 0.45  ***
epoch 145, training loss (NLL) 76.4028, training kl divergence 16.6482, valid error 77.2263, time 0.43  ***
epoch 146, training loss (NLL) 76.3665, training kl divergence 16.6522, valid error 77.2392, time 0.42 
epoch 147, training loss (NLL) 76.2701, training kl divergence 16.6842, valid error 77.1719, time 0.42  ***
epoch 148, training loss (NLL) 76.2248, training kl divergence 16.6788, valid error 76.9974, time 0.42  ***
epoch 149, training loss (NLL) 76.1428, training kl divergence 16.7069, valid error 77.1059, time 0.42 
epoch 150, training loss (NLL) 76.0925, training kl divergence 16.7023, valid error 77.0727, time 0.42 
epoch 151, training loss (NLL) 76.0294, training kl divergence 16.7327, valid error 76.9067, time 0.42  ***
epoch 152, training loss (NLL) 75.9363, training kl divergence 16.7297, valid error 76.7632, time 0.42  ***
epoch 153, training loss (NLL) 75.9011, training kl divergence 16.7620, valid error 76.7285, time 0.42  ***
epoch 154, training loss (NLL) 75.8509, training kl divergence 16.7667, valid error 76.6985, time 0.42  ***
epoch 155, training loss (NLL) 75.7444, training kl divergence 16.7671, valid error 76.6166, time 0.42  ***
epoch 156, training loss (NLL) 75.7061, training kl divergence 16.7840, valid error 76.6399, time 0.42 
epoch 157, training loss (NLL) 75.6517, training kl divergence 16.7837, valid error 76.6095, time 0.42  ***
epoch 158, training loss (NLL) 75.5838, training kl divergence 16.8154, valid error 76.4822, time 0.42  ***
epoch 159, training loss (NLL) 75.5369, training kl divergence 16.8173, valid error 76.3940, time 0.42  ***
epoch 160, training loss (NLL) 75.4904, training kl divergence 16.8382, valid error 76.4105, time 0.42 
epoch 161, training loss (NLL) 75.3944, training kl divergence 16.8400, valid error 76.3344, time 0.42  ***
epoch 162, training loss (NLL) 75.3531, training kl divergence 16.8442, valid error 76.2547, time 0.42  ***
epoch 163, training loss (NLL) 75.3072, training kl divergence 16.8640, valid error 76.0840, time 0.43  ***
epoch 164, training loss (NLL) 75.2335, training kl divergence 16.8773, valid error 76.2240, time 0.42 
epoch 165, training loss (NLL) 75.1998, training kl divergence 16.8914, valid error 76.0966, time 0.42 
epoch 166, training loss (NLL) 75.1498, training kl divergence 16.8929, valid error 76.0168, time 0.42  ***
epoch 167, training loss (NLL) 75.0735, training kl divergence 16.9129, valid error 76.0372, time 0.42 
epoch 168, training loss (NLL) 75.0251, training kl divergence 16.9149, valid error 75.9415, time 0.42  ***
epoch 169, training loss (NLL) 74.9632, training kl divergence 16.9236, valid error 75.9328, time 0.42  ***
epoch 170, training loss (NLL) 74.9292, training kl divergence 16.9344, valid error 75.9391, time 0.42 
epoch 171, training loss (NLL) 74.8599, training kl divergence 16.9427, valid error 75.8536, time 0.42  ***
epoch 172, training loss (NLL) 74.8180, training kl divergence 16.9581, valid error 75.7108, time 0.42  ***
epoch 173, training loss (NLL) 74.7455, training kl divergence 16.9662, valid error 75.7478, time 0.42 
epoch 174, training loss (NLL) 74.7144, training kl divergence 16.9789, valid error 75.6301, time 0.42  ***
epoch 175, training loss (NLL) 74.6624, training kl divergence 16.9858, valid error 75.6659, time 0.42 
epoch 176, training loss (NLL) 74.6263, training kl divergence 17.0065, valid error 75.6502, time 0.42 
epoch 177, training loss (NLL) 74.5891, training kl divergence 17.0125, valid error 75.4642, time 0.42  ***
epoch 178, training loss (NLL) 74.5029, training kl divergence 17.0169, valid error 75.5252, time 0.42 
epoch 179, training loss (NLL) 74.4645, training kl divergence 17.0259, valid error 75.4463, time 0.42  ***
epoch 180, training loss (NLL) 74.4195, training kl divergence 17.0424, valid error 75.3327, time 0.42  ***
epoch 181, training loss (NLL) 74.3750, training kl divergence 17.0413, valid error 75.3480, time 0.43 
epoch 182, training loss (NLL) 74.3253, training kl divergence 17.0500, valid error 75.2409, time 0.42  ***
epoch 183, training loss (NLL) 74.2686, training kl divergence 17.0458, valid error 75.2875, time 0.42 
epoch 184, training loss (NLL) 74.2628, training kl divergence 17.0693, valid error 75.2306, time 0.46  ***
epoch 185, training loss (NLL) 74.1896, training kl divergence 17.0827, valid error 75.1839, time 0.51  ***
epoch 186, training loss (NLL) 74.1528, training kl divergence 17.0921, valid error 75.1190, time 0.49  ***
epoch 187, training loss (NLL) 74.1277, training kl divergence 17.1137, valid error 75.1261, time 0.42 
epoch 188, training loss (NLL) 74.0734, training kl divergence 17.1111, valid error 75.0417, time 0.42  ***
epoch 189, training loss (NLL) 74.0458, training kl divergence 17.1231, valid error 75.0245, time 0.42  ***
epoch 190, training loss (NLL) 73.9805, training kl divergence 17.1359, valid error 74.9736, time 0.43  ***
epoch 191, training loss (NLL) 73.9454, training kl divergence 17.1378, valid error 74.8805, time 0.46  ***
epoch 192, training loss (NLL) 73.9076, training kl divergence 17.1421, valid error 74.8951, time 0.43 
epoch 193, training loss (NLL) 73.8729, training kl divergence 17.1535, valid error 74.8845, time 0.44 
epoch 194, training loss (NLL) 73.8092, training kl divergence 17.1582, valid error 74.8317, time 0.42  ***
epoch 195, training loss (NLL) 73.7934, training kl divergence 17.1749, valid error 74.7157, time 0.42  ***
epoch 196, training loss (NLL) 73.7358, training kl divergence 17.1774, valid error 74.7310, time 0.42 
epoch 197, training loss (NLL) 73.7074, training kl divergence 17.1682, valid error 74.7716, time 0.43 
epoch 198, training loss (NLL) 73.6529, training kl divergence 17.1746, valid error 74.7746, time 0.43 
epoch 199, training loss (NLL) 73.6304, training kl divergence 17.1999, valid error 74.6161, time 0.42  ***
epoch 200, training loss (NLL) 73.5930, training kl divergence 17.1885, valid error 74.5542, time 0.42  ***
epoch 201, training loss (NLL) 73.5492, training kl divergence 17.2100, valid error 74.5899, time 0.42 
epoch 202, training loss (NLL) 73.5122, training kl divergence 17.2142, valid error 74.4670, time 0.42  ***
epoch 203, training loss (NLL) 73.4721, training kl divergence 17.2164, valid error 74.5229, time 0.42 
epoch 204, training loss (NLL) 73.4401, training kl divergence 17.2321, valid error 74.4775, time 0.42 
epoch 205, training loss (NLL) 73.4142, training kl divergence 17.2332, valid error 74.4782, time 0.42 
epoch 206, training loss (NLL) 73.3787, training kl divergence 17.2364, valid error 74.3425, time 0.42  ***
epoch 207, training loss (NLL) 73.3256, training kl divergence 17.2416, valid error 74.3007, time 0.42  ***
epoch 208, training loss (NLL) 73.3203, training kl divergence 17.2510, valid error 74.2468, time 0.42  ***
epoch 209, training loss (NLL) 73.2862, training kl divergence 17.2663, valid error 74.3577, time 0.47 
epoch 210, training loss (NLL) 73.2322, training kl divergence 17.2648, valid error 74.2545, time 0.47 
epoch 211, training loss (NLL) 73.2021, training kl divergence 17.2829, valid error 74.2933, time 0.42 
epoch 212, training loss (NLL) 73.1677, training kl divergence 17.2733, valid error 74.2711, time 0.42 
epoch 213, training loss (NLL) 73.1525, training kl divergence 17.2793, valid error 74.2598, time 0.42 
epoch 214, training loss (NLL) 73.1070, training kl divergence 17.2837, valid error 74.0868, time 0.42  ***
epoch 215, training loss (NLL) 73.0910, training kl divergence 17.2969, valid error 74.1162, time 0.42 
epoch 216, training loss (NLL) 73.0571, training kl divergence 17.2971, valid error 74.0653, time 0.42  ***
epoch 217, training loss (NLL) 73.0091, training kl divergence 17.2963, valid error 74.1267, time 0.42 
epoch 218, training loss (NLL) 72.9871, training kl divergence 17.3014, valid error 74.0507, time 0.42  ***
epoch 219, training loss (NLL) 72.9378, training kl divergence 17.3119, valid error 74.0585, time 0.42 
epoch 220, training loss (NLL) 72.9235, training kl divergence 17.3105, valid error 73.9150, time 0.43  ***
epoch 221, training loss (NLL) 72.8898, training kl divergence 17.3127, valid error 73.9013, time 0.42  ***
epoch 222, training loss (NLL) 72.8782, training kl divergence 17.3163, valid error 74.0237, time 0.42 
epoch 223, training loss (NLL) 72.8211, training kl divergence 17.3205, valid error 73.9099, time 0.42 
epoch 224, training loss (NLL) 72.7984, training kl divergence 17.3162, valid error 73.8351, time 0.42  ***
epoch 225, training loss (NLL) 72.7985, training kl divergence 17.3361, valid error 73.9073, time 0.42 
epoch 226, training loss (NLL) 72.7409, training kl divergence 17.3454, valid error 73.9538, time 0.42 
epoch 227, training loss (NLL) 72.7332, training kl divergence 17.3416, valid error 73.7796, time 0.42  ***
epoch 228, training loss (NLL) 72.7076, training kl divergence 17.3505, valid error 73.7803, time 0.42 
epoch 229, training loss (NLL) 72.6720, training kl divergence 17.3534, valid error 73.7781, time 0.42  ***
epoch 230, training loss (NLL) 72.6602, training kl divergence 17.3545, valid error 73.7147, time 0.42  ***
epoch 231, training loss (NLL) 72.6280, training kl divergence 17.3607, valid error 73.6710, time 0.42  ***
epoch 232, training loss (NLL) 72.6187, training kl divergence 17.3676, valid error 73.8674, time 0.42 
epoch 233, training loss (NLL) 72.5894, training kl divergence 17.3833, valid error 73.6879, time 0.46 
epoch 234, training loss (NLL) 72.5328, training kl divergence 17.3791, valid error 73.5476, time 0.44  ***
epoch 235, training loss (NLL) 72.5245, training kl divergence 17.3804, valid error 73.5903, time 0.43 
epoch 236, training loss (NLL) 72.4942, training kl divergence 17.3725, valid error 73.6504, time 0.43 
epoch 237, training loss (NLL) 72.4514, training kl divergence 17.3831, valid error 73.6622, time 0.43 
epoch 238, training loss (NLL) 72.4514, training kl divergence 17.3832, valid error 73.6194, time 0.43 
epoch 239, training loss (NLL) 72.4166, training kl divergence 17.3840, valid error 73.6714, time 0.43 
epoch 240, training loss (NLL) 72.4160, training kl divergence 17.3834, valid error 73.5265, time 0.43  ***
epoch 241, training loss (NLL) 72.3590, training kl divergence 17.4031, valid error 73.4695, time 0.43  ***
epoch 242, training loss (NLL) 72.3634, training kl divergence 17.4000, valid error 73.4504, time 0.43  ***
epoch 243, training loss (NLL) 72.3230, training kl divergence 17.3998, valid error 73.4695, time 0.43 
epoch 244, training loss (NLL) 72.3168, training kl divergence 17.4028, valid error 73.4323, time 0.43  ***
epoch 245, training loss (NLL) 72.2797, training kl divergence 17.4055, valid error 73.4168, time 0.43  ***
epoch 246, training loss (NLL) 72.2837, training kl divergence 17.4198, valid error 73.3714, time 0.43  ***
epoch 247, training loss (NLL) 72.2465, training kl divergence 17.4265, valid error 73.4479, time 0.43 
epoch 248, training loss (NLL) 72.2015, training kl divergence 17.4162, valid error 73.3176, time 0.43  ***
epoch 249, training loss (NLL) 72.1862, training kl divergence 17.4116, valid error 73.3671, time 0.43 
epoch 250, training loss (NLL) 72.1874, training kl divergence 17.4171, valid error 73.3517, time 0.43 
epoch 251, training loss (NLL) 72.1647, training kl divergence 17.4313, valid error 73.2935, time 0.43  ***
epoch 252, training loss (NLL) 72.1276, training kl divergence 17.4259, valid error 73.3309, time 0.43 
epoch 253, training loss (NLL) 72.1035, training kl divergence 17.4186, valid error 73.3240, time 0.43 
epoch 254, training loss (NLL) 72.0745, training kl divergence 17.4341, valid error 73.2269, time 0.44  ***
epoch 255, training loss (NLL) 72.0737, training kl divergence 17.4504, valid error 73.1828, time 0.43  ***
epoch 256, training loss (NLL) 72.0417, training kl divergence 17.4384, valid error 73.1612, time 0.42  ***
epoch 257, training loss (NLL) 72.0330, training kl divergence 17.4396, valid error 73.1897, time 0.42 
epoch 258, training loss (NLL) 72.0067, training kl divergence 17.4462, valid error 73.1234, time 0.42  ***
epoch 259, training loss (NLL) 71.9932, training kl divergence 17.4585, valid error 73.2152, time 0.42 
epoch 260, training loss (NLL) 71.9580, training kl divergence 17.4433, valid error 73.1716, time 0.42 
epoch 261, training loss (NLL) 71.9512, training kl divergence 17.4557, valid error 73.0780, time 0.42  ***
epoch 262, training loss (NLL) 71.9193, training kl divergence 17.4603, valid error 73.1093, time 0.42 
epoch 263, training loss (NLL) 71.9033, training kl divergence 17.4599, valid error 73.2001, time 0.42 
epoch 264, training loss (NLL) 71.8774, training kl divergence 17.4627, valid error 73.1448, time 0.42 
epoch 265, training loss (NLL) 71.8627, training kl divergence 17.4569, valid error 73.0630, time 0.42  ***
epoch 266, training loss (NLL) 71.8427, training kl divergence 17.4685, valid error 73.0413, time 0.42  ***
epoch 267, training loss (NLL) 71.8171, training kl divergence 17.4661, valid error 73.0070, time 0.42  ***
epoch 268, training loss (NLL) 71.8124, training kl divergence 17.4784, valid error 73.1211, time 0.42 
epoch 269, training loss (NLL) 71.7978, training kl divergence 17.4774, valid error 72.9325, time 0.43  ***
epoch 270, training loss (NLL) 71.7672, training kl divergence 17.4809, valid error 73.0033, time 0.49 
epoch 271, training loss (NLL) 71.7456, training kl divergence 17.4763, valid error 72.9481, time 0.51 
epoch 272, training loss (NLL) 71.7178, training kl divergence 17.4791, valid error 73.0074, time 0.48 
epoch 273, training loss (NLL) 71.7147, training kl divergence 17.4764, valid error 72.9348, time 0.47 
epoch 274, training loss (NLL) 71.6927, training kl divergence 17.4765, valid error 72.9663, time 0.47 
epoch 275, training loss (NLL) 71.6697, training kl divergence 17.4866, valid error 72.8816, time 0.47  ***
epoch 276, training loss (NLL) 71.6640, training kl divergence 17.4936, valid error 72.9011, time 0.47 
epoch 277, training loss (NLL) 71.6296, training kl divergence 17.4857, valid error 72.9559, time 0.48 
epoch 278, training loss (NLL) 71.6026, training kl divergence 17.4903, valid error 72.8666, time 0.47  ***
epoch 279, training loss (NLL) 71.6190, training kl divergence 17.4856, valid error 72.9745, time 0.47 
epoch 280, training loss (NLL) 71.6108, training kl divergence 17.5024, valid error 72.7408, time 0.47  ***
